Cleaned_Comment,Predicted_Sentiment
virat your each aur every line is inspirational and life changing for me,POSITIVE
you are great sir,POSITIVE
last hugs and hand shake was emotional,POSITIVE
i proud india team,POSITIVE
superb session,POSITIVE
one the best thing everyone said that upar vale ki marji god ki kripa surya god ne vo mauka diya thats why we are indian,POSITIVE
laddkoo ladkee,POSITIVE
quot hota hai quot,NEGATIVE
rohit sharmas woh permanent,NEGATIVE
wel done team india,POSITIVE
rahul gandhi next pm like thoko,POSITIVE
it was wonderful and priceless,POSITIVE
proud moment best prime minister,POSITIVE
special love of modiji towards rishav pant,POSITIVE
iconic moments,POSITIVE
omg jai jagannath rath yatra ki subha kamana,NEGATIVE
a great inspirational educational and motivational video it will motivate generations to aspire make maximum efforts to achieve success in life thanks to the pm for creating a memorable event and make its video public for the inspiration of the nation,POSITIVE
top sir,POSITIVE
modi ji kalki avatar hain mahadev ka naya roop,NEGATIVE
last me rula diya,POSITIVE
ahankaar waali baat modi ko kuch pachi nahin,NEGATIVE
o modi sir desh me internet kakaya hoga jio humlogon ko jinda nehi chodega,NEGATIVE
agniveer ko b hata do pm modi ji,NEGATIVE
credit jeevi aageyo,POSITIVE
chahal siriyes hai,POSITIVE
im so happy team india team won,POSITIVE
kisi ne notice kiya sare khiladi bilkul sidhe bethe he ek ki bhi kmrr juki huvi nhi he,NEGATIVE
rohit wo ye is permanent,POSITIVE
sardar arshdeep singh,POSITIVE
india ki ab tak ki sabse achi jersey he ye jisme bhagwa color hr,NEGATIVE
thank you modi sir,POSITIVE
best line,POSITIVE
salute you pm of india,POSITIVE
jay shah ko remove kro,NEGATIVE
sir na aap jaise tha koi na hoga,NEGATIVE
proud be indian,POSITIVE
jab aap jaise neta pichhe khada ho to kya nahi ho sakta dhanyawad sir hamesha humare khiladiyo ka aisa hi support karna,NEGATIVE
proud to say that we have a great pm,POSITIVE
world best pm,POSITIVE
i am really sad modi ji didnt even speak to jadeja jadeja might have had a bad tournament but he is a great indian cricketer,POSITIVE
bhai pehelwaan bhi jeet kee aaye the too aise hi mile thee but jab inke sansad unke sath rape kie tab modi ji maun modi ji ban gye mujhe credit nahi chahiye chal jhuta,NEGATIVE
modi ji muje aapse world cup jeet gye lkin cup jaye to bhut acha hoga k liye best plz modi ji,POSITIVE
modi ji great haijay hind jay bharat vande mataram,POSITIVE
stand,POSITIVE
esa pm desh kbhi nhi mil payga fir bhi pta nhi log inse itni nfrt kyu krte he,NEGATIVE
bohot accha laga,POSITIVE
bhautik garbh ki baat hai ki aap hamare desh ke pradhanmantri hain bhartiya janata ke liye saubhagya ki baat hai pata nahin kitne punya ka fal hai jo aap modi ji pradhanmantri ke roop mein hamare bich hain mujhe bahut khushi hoti hai jab main modi ji ko koi bhashan dete ya achcha karya karte dekhti hun bahut hi garm mahsus karti hun iam proud full,POSITIVE
mrnarendra modi the prime minister of india is the only one person who stands always with indian team chahe oo har ho chahe oo jitt,NEGATIVE
what a propaganda,NEGATIVE
mujhe nhi pta tha ki pm sir bhi youtuber h edit bhi achaa kr lete h,NEGATIVE
scripted,NEGATIVE
i think rahul dravid hero h,NEGATIVE
shi fenkte ho,NEGATIVE
team ne desh ko aage bdhaya or ak aap jo desh ko duba rhe ho,NEGATIVE
i love indian kriket teem familly,POSITIVE
modi ji ne bhut honshla diya ladko ko you r great my prime minister ji,POSITIVE
modi ye desh ko barbad kar raha hai or in gutka khane vale chutyo ko saman de raha hai to desh ka future kese sudhrega,NEGATIVE
ye dekho aaj peso vale ki value kaise kar rahe hai or neet scam par modi bolta hi nhi jah lakho logo or desh ka future hai ye chutye cricket ko dhandha bana diya modi kabhi ek garib family or oosi halato se milna hi nhi chahta peso valo ko badai dene paunch gya aese logo ko earth par nhi rahana chahiye,NEGATIVE
congratulations my amp dear indian prime minister ji congratulations aako,POSITIVE
who else skips modi,NEGATIVE
modi fan attendence,POSITIVE
talk about hathras,POSITIVE
jaiswal ko paka uski mummy ny teyaar kiya hoga,NEGATIVE
love u sir u are the best,POSITIVE
hello modi ji ek kam karo yah jitne bhi chij milati hai dukaan mein vah sari chij mahanga kar do,POSITIVE
sabse badi cheej ki sab log hindi me baat kar rahe which is most honourable thing for me and every indian,POSITIVE
sir please speak about the neet issue please stop treating it as something that never happenedim not sure if im in the right place to comment on it but you leave us with no choice when you and the cricket superheroes that we love with all our hearts have any ailments only the doctors will be left and if it is the ones that passed the exam by cheating do you think it will be alright do you think they will make good doctors what goes around will definitely come around please take time out of your busy schedule and do something about it unless you want our country to go into ruins please give at least half of the love and support you have to future doctors because they are the only people who can give us back the life god gave us,NEGATIVE
main is sare show ko ignore kar rha tha ke kya pata kaise boring hoga lekin ye show to bahut acha tha majja aah gya dekh ke,NEGATIVE
india needs more of this rahul who has immense humility respect and level headedness in spite of winning a world cup great episode,POSITIVE
plbahut hi behatarin pal h shri pm bharat ke sath sabhi kriket khelareyo ko besesh hamari shubhakamanaye jaihend jaibharat,NEGATIVE
chahalka kuch jyada khyal rakhte he sir,POSITIVE
hiiiii good morning shree krishna ki dil iloveyou bjp,POSITIVE
ye pal or ye samay har ek bhartiya ke liye yaadgaar rahegaye apne desh ke prati samaan pyaaror deshbhakti ko darshata hailove you alln respect to our pm modi jijai shree ram jai hind,POSITIVE
lagta hai modi ji ne pura match dekha hai,NEGATIVE
jab jab modi ji ne motivate kiya hai to jarur kuch achha hua hai chahe wo isro ki sflta ho ya wolrd cup jitna ho dono time modi ji ne motivate kiya tha,NEGATIVE
thank you for sharing this whole interview and inspiring the whole country through such exceptional players and giving them the respect they always deserved,POSITIVE
ay axar ka kuch karna prdega,NEGATIVE
abhi sabko badal diya aur jo team wc qualify n kar sake unhone hara diya kal zimbabwe ne,NEGATIVE
bas yahi chahiye isse aur utsaah badhta hai agar koi apki mehnat ki izzat kare aur use sarahe,NEGATIVE
aapko hastakshep karna chahiye safal team ko ekdum na hatayen,POSITIVE
prime minister aisa hi hona chahiye jaise modi ji hai,POSITIVE
pm modi sir is always great and our champions,POSITIVE
great visionary amp statesman,POSITIVE
kutty win the match by fixing hindustan tattistan,POSITIVE
sir is saal ke neet ke bccho se kab milne wale ho unki problems sunne ke liye,NEGATIVE
where is sir ravinder jadeja speach,NEGATIVE
jinky wazeer e azam he unko itni suppurt krty ho or puri nazr rakhty ho unka jitna banta love from pakistan,NEGATIVE
siraj se handshake nahi kiye,NEGATIVE
wonderful our beloved prime minister our beloved cricket team,POSITIVE
pm should have spoken with every one even who havent played sanju jaddu siraj yashasvi,NEGATIVE
no questionsno appreciate and no meeting with mohammed siraj racist pm modi,NEGATIVE
modi ji ke paas cricketer se milne ka time hai par manipur ke logon se milne ka time nahi haiwaah modiji waah,NEGATIVE
respect for modi the way he talked to everyone huge respect,POSITIVE
this really good actually,POSITIVE
jadeja se bt kyu nhi ki pm ji ne,NEGATIVE
im here for arshdeep,POSITIVE
jab kuldeep bol rha tha to surya hasi kyu rok rha tha,NEGATIVE
radheradhe,POSITIVE
pm mohammad siraj why,NEGATIVE
even subtitle hindi,POSITIVE
english enke,POSITIVE
bhai jaan,POSITIVE
kya ball dhakla hai surya bhai direct trophy andar,POSITIVE
im speechless forget every good or bad the respect always increases for this man love you our great pm modi ji,NEGATIVE
ab dkho jo congress ko support krte ha papu kabhi aisa krta na unhone phle aisa kabhi kiya ha me koi bjp ka supporter nai hu lekin as a human modi ji is very kind and has big heart this is way how pm reacts to such situations hats off to our pm,POSITIVE
jay narendra modi ji ki,POSITIVE
congratulations to team india but i see a weird trend why do indian players wear yankees and dodgers caps in airports and public places i think it is to look kool they are still stuck in what british taught us white countries are kool america is epitome of coolness no american will wear indian sports team cap how does it make sense to wear baseball caps when nobody plays the sport back at home i wish instead they promoted indian sports teams,NEGATIVE
i love this man,POSITIVE
siraj se haath milane ka koi video nahi aur nahi usse koi baat cheet aakir kyu sir,NEGATIVE
apna sapna to reh gaya jimmedariyon ke chalte indian cricket team mai pahuchne ka lekin ye kasam khata hu apne bete ko aane wale samay mai team india mai jarur pahuchaungajai hind,NEGATIVE
rishav pant voice mast,NEGATIVE
we saw a dictator with trophy and now a sevak with trophy,NEGATIVE
dont read my name,NEGATIVE
humhe garb h hum itna ache pradhanmantri ji ke raj mee jeeye h be r proud to be modi ji,POSITIVE
thats why he is our pm,NEGATIVE
when indians were dying of covid this loser was mia only shows his face to take credit for good times no smart cities no black money returned no ligo program full corruption,NEGATIVE
i am seriously amazed by the fact that modiji has been taking so much effort in involving personally in journey of each and every single player even after the tight schedule what a leader what a man legend,POSITIVE
finally saw dravid speak hindiurdu from pakistan,POSITIVE
kaash hamare desh mein football ko bhi itna hi support kiya jaata to quotsunil chhetriquot jaisa player messi amp ronaldo ko v beat kr chuka hota,NEGATIVE
maal scripted hi laana h media attention,NEGATIVE
sandar,POSITIVE
god bless you all,POSITIVE
am an indian from tamilnadu cant understand nothing,NEGATIVE
rohit wo kiya wo tha wo hua wa chahta tha wo mila ye kiya rohit being rohit,NEGATIVE
best pm ever modiji,POSITIVE
india never witnessed pm like narendramodi sir and will never witness pm like him,POSITIVE
virat kohli kitni acchi acchi baatein karta hai really inspiring,POSITIVE
virat so humble wow,POSITIVE
best leader best team india,POSITIVE
virat kohli ke liye itna lamba video dekh dala king,POSITIVE
at least he is giving platform to the heroes kudos,POSITIVE
the great leader of modi ji,POSITIVE
why do people hate modi he has given all his heart and mind for nation building,POSITIVE
sirji tax payer ke lye kuch kriye please do something for tax payers especially those who are doing job,POSITIVE
sir aap hamare neta nahi bhagwan ho,POSITIVE
wao,NEGATIVE
just incredible,POSITIVE
so sweet,POSITIVE
amazing sir team india,POSITIVE
all the best our india congratulations to our indian cricketers team wow v nice jai hind jai bharat jai modiji,POSITIVE
hindu muslim sikh isayi sab ne mil kar jeeta cup aur nafrat failne walo ko desh se baggana hai,NEGATIVE
ye pal var ki moment sabse yaadgaar bana rahega bijayee bhaba,NEGATIVE
who missed jadeja,NEGATIVE
i love this conferencefan of modi ji and this indian team now a daysisai acha pm nahi aur isai achi team bhi nahi,POSITIVE
the heart of india shree narendra modi,POSITIVE
pm k pass jane ki kia jarurat chai wala,NEGATIVE
proud of pm modi ji,POSITIVE
ye hotaa h pm aaisa pm kabhi na milega,NEGATIVE
please atleast make the subtitles available in englishthank you by indian,POSITIVE
modi chorr,NEGATIVE
next president of india modiji,POSITIVE
haryanavi hi kaide,POSITIVE
pm needs to ask rohit about garden,NEGATIVE
icc and hotstar wale be like report karun ya na karun mera video use kiya hai,NEGATIVE
justice for quotpress conferencequot,POSITIVE
hardik pandya respect buttonltltltltltlt,NEGATIVE
hoping to see football players sitting beside modi ji,POSITIVE
today is my birthday,POSITIVE
i dont know why but modi ji feels so personallike a family,POSITIVE
the prime minister we want only,NEGATIVE
the best pm we can ever have who not only celebrate our successes but also stand like a rock with us in our failures thankyou modi ji,POSITIVE
excellent conversation,POSITIVE
har har mahadev jai shree ram bharat mata ki jai ho,POSITIVE
proud pm,POSITIVE
ab desh ka nya nam adaamba hoga,NEGATIVE
greatest pm sahab,POSITIVE
best pm ever jai hind,POSITIVE
aap leder nahi god hai,NEGATIVE
super hero sir bharat mata ki jay,POSITIVE
bhut khub,POSITIVE
wah bhai sb cricketer hindi m bol rhe warna english khatam nhi hoti lakin modi ko smjh bhi to nahi ata,NEGATIVE
everyone talking in hindi,POSITIVE
honorable pm sir chehel ka bhi maja lee rehe hnne,POSITIVE
potter ka kuch socho lavor offcer pasha khata hai aur bhout loog melay huvay hai yeha har koe hamara pasha kha rha hai,NEGATIVE
god bless modi ji always,POSITIVE
best ever pm of bharat modi ji,POSITIVE
modified bharat under modi ji,NEGATIVE
mai to sirf virat ke liye ayaa hu,POSITIVE
rohit every time be like yeh na wo tha isliye pitch pe aisa kia ab modi ji samjhte raho ki kya tha pitch pe or kyu tha,NEGATIVE
king kohli fans attendence here,POSITIVE
rashk hota h as a pakistan in k pm pe aur inki team pepm modi a great leader mjhy uthwa na lena pakistaniojo jitna acha h os ki tareef krna ak graceful personality ki alamat hteam india,NEGATIVE
congress log,NEGATIVE
koi jadeja ke baaten me bhi baat kr leta,NEGATIVE
what a prime minister hatts off sir,POSITIVE
ask justice for neet aspirants,NEGATIVE
my gem modiji kal apke or humare indian cricket ke team ke legend ka janamdin he apne unka jikar karna chaiye tha lucky seven only msd luv u msd aap boss ho par mere legend gavaskar phir kapil then msd now rohit par now virat is virat apko dhoni ko ek bar remember kar lete sir,NEGATIVE
olympic rohit captain we definitely win the gold,POSITIVE
